strain	accession	date	country
A/Acre/15093/2010	HM628693	2010-03-03	Brazil
A/Acre/26954/2010	HM628694	2010-04-04	Brazil
A/Alabama/01/2011	KC882982	2011-01-05	USA
A/Alabama/02/2012	KC893090	2012-01-21	USA
A/Alabama/03/2011	KC883039	2011-04-04	USA
A/Alabama/03/2012	KC892474	2012-02-16	USA
A/Alabama/05/2010	KC535440	2010-07-13	USA
A/Alabama/05/2012	KC892558	2012-03-01	USA
A/Alabama/07/2010	KC882678	2010-10-28	USA
A/Alabama/07/2012	KC893059	2012-03-20	USA
A/Alabama/08/2010	KC882801	2010-11-03	USA
A/Alabama/08/2012	KC892181	2012-04-04	USA
A/Alabama/10/2010	KC882574	2010-11-07	USA
A/Alabama/13/2010	KC882465	2010-12-16	USA
A/Alabama/AF2692/2010	CY084299	2010-12-16	USA
A/Alabama/UR06_0482/2007	CY026035	2007-03-01	USA
A/Alabama/UR06_0545/2007	CY025859	2007-03-07	USA
A/Alabama/WRAIR1242P/2009	CY093263	2009-02-01	USA
A/Alaska/02/2010	KC535500	2010-07-22	USA
A/Alaska/02/2012	KC892853	2012-03-06	USA
A/Alaska/03/2010	KC535486	2010-08-06	USA
A/Alaska/03/2012	KC892629	2012-01-13	USA
A/Alaska/04/2008	FJ532066	2008-08-09	USA
A/Alaska/04/2010	KC882754	2010-09-01	USA
A/Alaska/05/2007	EU516052	2007-03-20	USA
A/Alaska/05/2010	KC882453	2010-12-08	USA
A/Alaska/06/2007	EU199374	2007-03-08	USA
A/Alaska/13/2011	KC883090	2011-04-12	USA
A/Alaska/15/2011	KC883402	2011-03-01	USA
A/Alaska/16/2011	KC883438	2011-03-24	USA
A/Alaska/17/2011	KC892914	2011-09-16	USA
A/Alaska/21/2011	KC892420	2011-11-27	USA
A/Alaska/24/2009	KC535312	2009-04-03	USA
A/Alaska/29/2009	KC535315	2009-04-15	USA
A/Alaska/WRAIR1172P/2009	CY069493	2009-03-01	USA
A/Alborz/1095/2012	KC865653	2012-01-24	Iran
A/Alborz/609/2012	KC865611	2012-01-09	Iran
A/Alborz/927/2012	KC865637	2012-01-18	Iran
A/Arizona/03/2011	KC883413	2011-02-17	USA
A/Arizona/06/2011	KC893099	2011-12-09	USA
A/Arizona/07/2012	KC892863	2012-04-05	USA
A/Arizona/08/2009	GQ385835	2009-02-27	USA
A/Arizona/09/2007	EU516202	2007-12-23	USA
A/Arizona/10/2007	EU516208	2007-12-14	USA
A/Arizona/11/2009	GQ385909	2009-02-25	USA
A/Arizona/11/2010	KC882759	2010-09-24	USA
A/Arizona/12/2007	EU516215	2007-12-27	USA
A/Arizona/12/2010	KC882781	2010-11-09	USA
A/Arizona/13/2010	KC882493	2010-12-06	USA
A/Arizona/M10/2012	KC513483	2012-03-24	USA
A/Arizona/M11/2012	KC513484	2012-03-27	USA
A/Arizona/M12/2012	KC513479	2012-03-31	USA
A/Arizona/M14/2012	KC513482	2012-04-03	USA
A/Arizona/M18/2012	KC513477	2012-04-09	USA
A/Arizona/WRAIR1562P/2009	CY093359	2009-03-01	USA
A/Arkansas/01/2012	KC892818	2012-01-11	USA
A/Arkansas/02/2008	EU567004	2008-01-04	USA
A/Arkansas/02/2011	KC882589	2011-01-06	USA
A/Arkansas/04/2008	EU567010	2008-01-14	USA
A/Arkansas/04/2011	KC892263	2011-10-07	USA
A/Arkansas/05/2008	EU885512	2008-03-02	USA
A/Arkansas/05/2011	KC892423	2011-12-05	USA
A/Arkansas/WRAIR1251P/2009	CY093295	2009-02-01	USA
A/Ashburton/280/2004	CY002954	2004-10-12	New Zealand
A/Astrakhan/RII65/2011	CY114553	2011-12-06	Russia
A/Auckland/10/1997	CY114293	1997-08-01	New Zealand
A/Auckland/583/2000	CY025018	2000-02-12	New Zealand
A/Auckland/588/2000	CY022501	2000-09-25	New Zealand
A/Auckland/589/2000	CY023002	2000-09-28	New Zealand
A/Auckland/593/2000	CY022517	2000-10-09	New Zealand
A/Auckland/596/2000	CY023026	2000-10-30	New Zealand
A/Auckland/598/2000	CY025042	2000-10-09	New Zealand
A/Auckland/599/2000	CY023034	2000-09-22	New Zealand
A/Auckland/600/2000	CY023042	2000-05-06	New Zealand
A/Auckland/601/2000	CY023050	2000-09-11	New Zealand
A/Auckland/602/2001	CY022525	2001-08-19	New Zealand
A/Auckland/603/2001	CY023058	2001-10-02	New Zealand
A/Auckland/604/2001	CY023066	2001-09-28	New Zealand
A/Auckland/607/2001	CY022181	2001-08-15	New Zealand
A/Auckland/608/2002	CY022549	2002-06-08	New Zealand
A/Auckland/609/2002	CY022557	2002-06-18	New Zealand
A/Auckland/610/2002	CY025050	2002-07-29	New Zealand
A/Auckland/611/2002	CY022189	2002-09-09	New Zealand
A/Auckland/612/2002	CY022565	2002-08-14	New Zealand
A/Auckland/614/2002	CY022205	2002-01-14	New Zealand
A/Auckland/615/2002	CY023074	2002-03-04	New Zealand
A/Auckland/616/2005	CY022573	2005-09-29	New Zealand
A/Auckland/617/2005	CY023082	2005-09-28	New Zealand
A/Auckland/621/2005	CY022597	2005-01-30	New Zealand
A/Australia/18/2009	CY066511	2009-07-21	Australia
A/Australia/19/2009	CY061898	2009-07-21	Australia
A/Australia/2/2009	CY061890	2009-07-16	Australia
A/Australia/22/2009	CY080539	2009-07-21	Australia
A/Australia/30/2009	CY080547	2009-07-23	Australia
A/Australia/34/2009	CY080555	2009-07-24	Australia
A/Australia/46/2009	CY080531	2009-07-27	Australia
A/Australia/55/2009	CY080563	2009-07-30	Australia
A/Australia/NHRC0001/2003	CY091181	2003-07-01	Australia
A/Australia/NHRC0001/2005	CY091421	2005-04-13	Australia
A/Australia/NHRC0002/2003	CY091301	2003-07-01	Australia
A/Australia/NHRC0003/2003	CY091293	2003-07-01	Australia
A/Australia/NHRC0003/2005	CY091405	2005-04-15	Australia
A/Australia/NHRC0004/2005	CY091397	2005-04-15	Australia
A/Australia/NHRC0005/2003	CY092225	2003-07-08	Australia
A/Australia/NHRC0005/2005	CY091389	2005-04-16	Australia
A/Australia/NHRC0006/2003	CY091285	2003-07-07	Australia
A/Australia/NHRC0006/2005	CY091381	2005-06-13	Australia
A/Australia/NHRC0008/2003	CY091277	2003-07-08	Australia
A/Australia/NHRC0008/2005	CY091365	2005-06-13	Australia
A/Australia/NHRC0010/2003	CY091205	2003-07-10	Australia
A/Australia/NHRC0010/2005	CY092233	2005-06-13	Australia
A/Australia/NHRC0012/2005	CY091341	2005-06-13	Australia
A/Australia/NHRC0013/2005	CY091333	2005-06-15	Australia
A/BacGiang/BG003/2004	CY104132	2004-02-13	Viet Nam
A/BacNinh/N52/2007	CY104548	2007-01-02	Viet Nam
A/Bay_of_Plenty/332/2004	CY007299	2004-10-17	New Zealand
A/Bay_of_Plenty/383/2004	CY007315	2004-09-13	New Zealand
A/Belgrade/WRAIR2956T/2010	CY093399	2010-10-26	Serbia
A/Bogota/WRAIR3457T/2010	CY093415	2010-12-01	Colombia
A/Boston/1/2008	CY044429	2008-02-13	USA
A/Boston/10/2008	CY044476	2008-03-03	USA
A/Boston/14/2007	CY044492	2007-12-15	USA
A/Boston/16/2009	CY081025	2009-02-12	USA
A/Boston/19/2008	CY044500	2008-01-28	USA
A/Boston/2/2008	CY044437	2008-02-21	USA
A/Boston/20/2008	CY044508	2008-01-28	USA
A/Boston/21/2008	CY044516	2008-01-28	USA
A/Boston/29/2008	CY044540	2008-02-06	USA
A/Boston/31/2008	CY044548	2008-02-07	USA
A/Boston/36/2008	CY044572	2008-02-13	USA
A/Boston/38/2008	CY044580	2008-02-14	USA
A/Boston/39/2008	CY044588	2008-02-14	USA
A/Boston/4/2008	CY044453	2008-02-25	USA
A/Boston/40/2008	CY044596	2008-02-15	USA
A/Boston/40/2009	CY089733	2009-02-27	USA
A/Boston/42/2008	CY044604	2008-02-18	USA
A/Boston/44/2008	CY044620	2008-02-19	USA
A/Boston/45/2008	CY044628	2008-02-19	USA
A/Boston/46/2008	CY044636	2008-02-19	USA
A/Boston/47/2008	CY044644	2008-02-20	USA
A/Boston/48/2008	CY044652	2008-02-20	USA
A/Boston/5/2008	CY044461	2008-02-26	USA
A/Boston/5/2009	CY089393	2009-01-30	USA
A/Boston/50/2008	CY044668	2008-02-21	USA
A/Boston/51/2008	CY044676	2008-02-21	USA
A/Boston/55/2008	CY044692	2008-02-24	USA
A/Boston/56/2008	CY044700	2008-02-24	USA
A/Boston/57/2008	CY044708	2008-02-24	USA
A/Boston/58/2008	CY044716	2008-02-24	USA
A/Boston/59/2008	CY044724	2008-02-24	USA
A/Boston/60/2008	CY044732	2008-02-25	USA
A/Boston/61/2008	CY044740	2008-02-26	USA
A/Boston/62/2008	CY044748	2008-02-26	USA
A/Boston/63/2008	CY044756	2008-02-26	USA
A/Boston/64/2008	CY044764	2008-02-27	USA
A/Boston/66/2008	CY044772	2008-02-27	USA
A/Boston/68/2008	CY044780	2008-03-01	USA
A/Boston/71/2008	CY044788	2008-03-02	USA
A/Boston/73/2009	CY089741	2009-04-01	USA
A/Boston/75/2009	CY089749	2009-01-16	USA
A/Boston/78/2008	CY044796	2008-03-11	USA
A/Boston/79/2008	CY044804	2008-03-12	USA
A/Boston/81/2008	CY044812	2008-03-13	USA
A/Boston/88/2008	CY044820	2008-04-16	USA
A/Boston/9/2008	CY044469	2008-02-27	USA
A/Boston/96/2008	CY044844	2008-02-20	USA
A/Boston/97/2008	CY044852	2008-03-14	USA
A/Boston/97/2009	CY089765	2009-05-11	USA
A/Boston/99/2009	CY089773	2009-04-27	USA
A/Boston/DOA02/2011	CY111134	2011-01-04	USA
A/Boston/DOA03/2011	CY111142	2011-01-03	USA
A/Boston/DOA04/2011	CY111150	2011-01-05	USA
A/Boston/DOA07/2011	CY111174	2011-01-13	USA
A/Boston/DOA09/2011	CY111182	2011-01-13	USA
A/Boston/DOA10/2011	CY111222	2011-01-13	USA
A/Boston/DOA11/2011	CY111230	2011-01-13	USA
A/Boston/DOA12/2011	CY111238	2011-01-15	USA
A/Boston/DOA13/2011	CY111214	2011-01-19	USA
A/Boston/DOA15/2011	CY111198	2011-01-18	USA
A/Boston/DOA16/2011	CY116699	2011-01-19	USA
A/Boston/DOA17/2011	CY111190	2011-01-21	USA
A/Boston/DOA18/2011	CY139586	2011-01-25	USA
A/Boston/DOA20/2011	CY111246	2011-01-28	USA
A/Boston/DOA24/2011	CY116707	2011-02-01	USA
A/Boston/DOA27/2011	CY125717	2011-02-21	USA
A/Boston/DOA29/2011	CY134481	2011-01-27	USA
A/Boston/DOA32/2011	CY111270	2011-02-07	USA
A/Boston/DOA33/2011	CY111546	2011-02-08	USA
A/Boston/DOA36/2011	CY134505	2011-02-10	USA
A/Boston/DOA38/2011	CY134513	2011-02-12	USA
A/Boston/DOA41/2011	CY134529	2011-02-13	USA
A/Boston/DOA42/2011	CY117581	2011-02-14	USA
A/Boston/DOA45/2011	CY134545	2011-02-15	USA
A/Boston/DOA47/2011	CY134561	2011-02-14	USA
A/Boston/DOA48/2011	CY111302	2011-02-16	USA
