strain	virus	accession	date	region	country	division	location	passage	age	gender	originating_lab	submitting_lab
A/England/260/1991	flu	EPI365778	1991-09-15	europe	united_kingdom	england	england	cell	?	?	?	Other Database Import
A/Bcm/1/1991	flu	EPI359491	1991-11-25	north_america	usa	texas	baylor	cell	?	?	?	Other Database Import
A/Geneva/6447/1991	flu	EPI362541	1991-11-27	europe	switzerland	geneva	geneva	cell	?	?	?	Other Database Import
A/Paris/417/1992	flu	EPI366036	1991-12-01	europe	france	ile_de_france	paris	cell	?	?	?	Other Database Import
A/Paris/564/1991	flu	EPI366084	1991-12-01	europe	france	ile_de_france	paris	cell	?	?	?	Other Database Import
A/Paris/512/1991	flu	EPI366068	1991-12-01	europe	france	ile_de_france	paris	cell	?	?	?	Other Database Import
A/Paris/457/1992	flu	EPI366052	1991-12-01	europe	france	ile_de_france	paris	cell	?	?	?	Other Database Import
A/Paris/407/1992	flu	EPI366019	1991-12-01	europe	france	ile_de_france	paris	cell	?	?	?	Other Database Import
A/Paris/548/1992	flu	EPI366076	1991-12-01	europe	france	ile_de_france	paris	cell	?	?	?	Other Database Import
A/Paris/597/1991	flu	EPI366100	1991-12-01	europe	france	ile_de_france	paris	cell	?	?	?	Other Database Import
A/Netherlands/891/1991	flu	EPI365890	1991-12-04	europe	netherlands	netherlands	netherlands	cell	?	?	?	Other Database Import
A/Lyon/1276/1991	flu	EPI365818	1991-12-12	europe	france	auvergne_rhone_alpes	lyon	cell	?	?	?	Other Database Import
A/Lyon/1189/1991	flu	EPI365810	1991-12-12	europe	france	auvergne_rhone_alpes	lyon	cell	?	?	?	Other Database Import
A/Lyon/1373/1991	flu	EPI365834	1991-12-16	europe	france	auvergne_rhone_alpes	lyon	cell	?	?	?	Other Database Import
A/Lyon/1337/1991	flu	EPI365826	1991-12-16	europe	france	auvergne_rhone_alpes	lyon	cell	?	?	?	Other Database Import
A/Stockholm/20/1991	flu	EPI362548	1991-12-17	europe	sweden	stockholm	stockholm	cell	?	?	?	Other Database Import
A/Siena/1/1991	flu	EPI171165	1991-12-17	europe	italy	tuscany	siena	undetermined	?	?	?	Other Database Import
A/Lyon/23672/1991	flu	EPI365850	1991-12-17	europe	france	auvergne_rhone_alpes	lyon	cell	?	?	?	Other Database Import
A/Siena/3/1991	flu	EPI190228	1991-12-19	europe	italy	tuscany	siena	undetermined	?	?	?	Other Database Import
A/Netherlands/938/1992	flu	EPI24028	1991-12-19	europe	netherlands	netherlands	netherlands	undetermined	?	?	?	Other Database Import
A/Siena/5/1991	flu	EPI165681	1991-12-21	europe	italy	tuscany	siena	undetermined	?	?	?	Other Database Import
A/Siena/6/1991	flu	EPI165689	1991-12-24	europe	italy	tuscany	siena	undetermined	?	?	?	Other Database Import
A/Lyon/24103/1991	flu	EPI365858	1991-12-24	europe	france	auvergne_rhone_alpes	lyon	cell	?	?	?	Other Database Import
A/Lyon/24222/1991	flu	EPI365866	1991-12-26	europe	france	auvergne_rhone_alpes	lyon	cell	?	?	?	Other Database Import
A/Lyon/1594/1991	flu	EPI365842	1991-12-26	europe	france	auvergne_rhone_alpes	lyon	cell	?	?	?	Other Database Import
A/Oviedo/31/1992	flu	EPI365995	1991-12-28	europe	spain	asturias	oviedo	cell	?	?	?	Other Database Import
A/Paris/583/1992	flu	EPI366092	1992-01-01	europe	france	ile_de_france	paris	cell	?	?	?	Other Database Import
A/Paris/614/1992	flu	EPI366108	1992-01-01	europe	france	ile_de_france	paris	cell	?	?	?	Other Database Import
A/Bcm/2/1992	flu	EPI427177	1992-01-02	north_america	usa	texas	baylor	cell	?	?	?	Other Database Import
A/Netherlands/819/1992	flu	EPI365946	1992-01-09	europe	netherlands	netherlands	netherlands	cell	?	?	?	Other Database Import
A/Enschede/1285/1992	flu	EPI362561	1992-01-09	europe	netherlands	overijssel	enschede	cell	?	?	?	Other Database Import
A/Nijmegen/3126/1992	flu	EPI365979	1992-01-09	europe	netherlands	gelderland	nijmegen	cell	?	?	?	Other Database Import
A/Netherlands/935/1992	flu	EPI365956	1992-01-10	europe	netherlands	netherlands	netherlands	cell	?	?	?	Other Database Import
A/Geneva/5113/1992	flu	EPI365906	1992-01-15	europe	switzerland	geneva	geneva	cell	?	?	?	Other Database Import
A/Finland/220/1992	flu	EPI362574	1992-01-24	europe	finland	finland	finland	cell	?	?	?	Other Database Import
A/Rotterdam/100540/1992	flu	EPI362595	1992-01-26	europe	netherlands	south_holland	rotterdam	cell	?	?	?	Other Database Import
A/Netherlands/823/1992	flu	EPI545281	1992-02-03	europe	netherlands	netherlands	netherlands	cell	?	?	?	Other Database Import
A/Nijmegen/3129/1992	flu	EPI365987	1992-02-07	europe	netherlands	gelderland	nijmegen	cell	?	?	?	Other Database Import
A/Stockholm/8/1992	flu	EPI362615	1992-03-02	europe	sweden	stockholm	stockholm	cell	?	?	?	Other Database Import
A/SouthAustralia/8/1992	flu	EPI362608	1992-03-05	oceania	australia	south_australia	south_australia	cell	?	?	?	Other Database Import
A/Houston/56798/1992	flu	EPI365914	1992-04-03	north_america	usa	texas	houston	cell	?	?	?	Other Database Import
A/SouthAustralia/27/1992	flu	EPI366130	1992-04-06	oceania	australia	south_australia	south_australia	cell	?	?	?	Other Database Import
A/Victoria/33/1992	flu	EPI362622	1992-06-29	oceania	australia	victoria	victoria	cell	?	?	?	Other Database Import
A/Victoria/68/1992	flu	EPI366179	1992-07-17	oceania	australia	victoria	victoria	cell	?	?	?	Other Database Import
A/Umea/1982/1992	flu	EPI366163	1992-10-01	europe	sweden	vasterbottens	umea	cell	?	?	?	Other Database Import
A/Stockholm/12/1992	flu	EPI366139	1992-11-01	europe	sweden	stockholm	stockholm	cell	?	?	?	Other Database Import
A/Netherlands/17/1993	flu	EPI362658	1993-01-01	europe	netherlands	netherlands	netherlands	cell	?	?	?	Other Database Import
A/Singapore/3/1993	flu	EPI365666	1993-01-06	southeast_asia	singapore	singapore	singapore	cell	?	?	?	Other Database Import
A/NewYork/754/1993	flu	EPI38683	1993-01-16	north_america	usa	new_york	new_york	cell	?	?	?	Other Database Import
A/NewYork/779/1993	flu	EPI37752	1993-02-01	north_america	usa	new_york	new_york	cell	?	?	?	Other Database Import
A/NewYork/778/1993	flu	EPI37733	1993-02-02	north_america	usa	new_york	new_york	cell	?	?	?	Other Database Import
A/NewYork/756/1993	flu	EPI36213	1993-02-02	north_america	usa	new_york	new_york	cell	?	?	?	Other Database Import
A/NewYork/793/1993	flu	EPI40999	1993-02-02	north_america	usa	new_york	new_york	cell	?	?	?	Other Database Import
A/NewYork/758/1993	flu	EPI36232	1993-02-03	north_america	usa	new_york	new_york	cell	?	?	?	Other Database Import
A/NewYork/795/1993	flu	EPI40044	1993-02-04	north_america	usa	new_york	new_york	cell	?	?	?	Other Database Import
A/NewYork/762/1993	flu	EPI36308	1993-02-04	north_america	usa	new_york	new_york	cell	?	?	?	Other Database Import
A/NewYork/790/1993	flu	EPI39968	1993-02-04	north_america	usa	new_york	new_york	cell	?	?	?	Other Database Import
A/NewYork/760/1993	flu	EPI36270	1993-02-09	north_america	usa	new_york	new_york	cell	?	?	?	Other Database Import
A/NewYork/766/1993	flu	EPI39740	1993-02-15	north_america	usa	new_york	new_york	cell	?	?	?	Other Database Import
