strain	branch_length	cTiter	cTiterSub	cTiterSub_x	clade_membership	clock_length	country	country_entropy	dTiter	dTiterSub	date	delta_frequency	dms_star	ep	ep_x	lbi	mutation_length	ne	ne_star	numdate	raw_date	rb	region	region_entropy	is_terminal	timepoint	lineage	segment	frequency	naive	weighted_distance_to_future	weighted_distance_to_present	log2_distance_effect
A/California/7/2004	0.0015623087183377071	0.9043005444938456	-0.969563123078802	1.1231217661441453	4ff1302	0.0015623087183377071	usa	-1.000088900581841e-12	0	0.0	2004-09-16	1.1602436257181268	-0.8385060115274421	1.8839833901102845	1.9577552115927424	1.6827422595044998	0.0017587293281450134	7	-0.3416353281005056	2004.7118412046545	2004-09-16	5	north_america	-9.99866855976916e-13	True	2004-10-01	h3n2	ha	0.19583499999999998	0.0	6.375680999999999	5.069706999999999	0.3306770773811753
A/Canterbury/201/2004	0.0015623087183377071	0.9043005444938456	-0.969563123078802	1.1231217661441453	4ff1302	0.0015623087183377071	new_zealand	-9.99866855976916e-13	0	0.0	2004-09-16	1.1602436257181268	0.6360028816284221	-0.32380964517520466	0.6896459174723698	1.6827422595044998	0.0017580492024412036	8	0.6073516944008986	2004.7118412046545	2004-09-16	5	oceania	-9.99866855976916e-13	True	2004-10-01	h3n2	ha	0.19583499999999998	0.0	4.659788000000001	3.8530489999999995	0.2742637868924714
A/Canterbury/23/2004	0.001232671483567538	0.9043005444938456	-0.969563123078802	1.1231217661441453	4ff1302	0.001232671483567538	new_zealand	-1.000088900581841e-12	0	0.0	2004-08-20	1.1602436257181268	1.5037059280978768	-0.32380964517520466	0.6896459174723698	2.0232973247264647	7.054084421150039e-18	7	-0.3416353281005056	2004.6351813826147	2004-08-19	5	oceania	-1.000088900581841e-12	True	2004-10-01	h3n2	ha	0.08412	0.0	3.659789	3.2447200000000005	0.17366648673745785
A/HongKong/CUHK33894/2004	0.0021557095506449108	0.9043005444938456	-0.969563123078802	1.1231217661441453	4ff1302	0.0021557095506449108	hong_kong	-1.000088900581841e-12	0	0.0	2004-05-09	1.1602436257181268	0.44545998291046746	-1.795671668698864	-0.29844254496844463	-1.5659692012803528	0.0005853264468047568	7	-0.3416353281005056	2004.3531827515399	2004-05-08	4	china	-1.000088900581841e-12	True	2004-10-01	h3n2	ha	3e-06	0.0	7.3746149999999995	6.19528	0.2513982463764876
A/HongKong/CUHK35435/2004	0.002868056659819596	0.9043005444938456	-0.969563123078802	1.1231217661441453	4ff1302	0.002868056659819596	hong_kong	-1.000088900581841e-12	0	0.0	2004-06-11	1.1602436257181268	0.5568542929301948	-1.795671668698864	-0.29844254496844463	-1.637219698339416	0.0011708343743929888	6	-1.29062235060191	2004.4435318275155	2004-06-10	4	china	-1.000088900581841e-12	True	2004-10-01	h3n2	ha	0.00025	0.0	6.374615999999999	5.1952869999999995	0.2951349889606126
A/HongKong/CUHK52941/2004	0.0008514481371766497	0.9043005444938456	-0.969563123078802	1.1231217661441453	b32cea9	0.0008514481371766497	hong_kong	-9.99866855976916e-13	0	0.0	2004-08-18	0.8652976999314134	0.26371137182564924	-1.0597406569370342	0.2664499827897239	0.9777343716085478	7.062794945654625e-18	8	0.6073516944008986	2004.6324435318274	2004-08-18	5	china	-1.000088900581841e-12	True	2004-10-01	h3n2	ha	0.08035	0.0	7.658719999999999	4.44269	0.7856698178854311
A/HongKong/HKU38/2004	0.0012752674390249794	0.9043005444938456	-0.969563123078802	1.1231217661441453	b32cea9	0.0012752674390249794	hong_kong	-1.000088900581841e-12	0	0.0	2004-09-24	0.8652976999314134	-0.03236297848994172	-0.32380964517520466	0.7542875516165326	0.6964620576411159	0.001758953489231581	8	0.6073516944008986	2004.7310061601645	2004-09-23	5	china	-1.000088900581841e-12	True	2004-10-01	h3n2	ha	0.211918	0.0	8.658719	5.018853	0.7867959127718227
A/Malaysia/28114/2004	0.0014909626131408699	0.9043005444938456	-0.969563123078802	1.1231217661441453	4ff1302	0.0014909626131408699	malaysia	-1.000088900581841e-12	0	0.0	2004-05-24	1.1602436257181268	-0.4427630680363056	1.1480523783484546	1.5628529741068569	1.0740902374638321	0.001757331485407049	8	0.6073516944008986	2004.396988364134	2004-05-24	5	southeast_asia	-1.000088900581841e-12	True	2004-10-01	h3n2	ha	2.7000000000000002e-05	0.0	8.658719	6.734958999999999	0.3624844404764548
A/Malaysia/28991/2004	0.002639305490172786	0.9043005444938456	-0.969563123078802	1.1231217661441453	4ff1302	0.002639305490172786	malaysia	-1.000088900581841e-12	0	0.0	2004-06-23	1.1602436257181268	2.0753346242517408	-0.32380964517520466	0.6896459174723698	-0.02601002710958553	0.0011713213725775046	7	-0.3416353281005056	2004.479123887748	2004-06-23	5	southeast_asia	-9.99866855976916e-13	True	2004-10-01	h3n2	ha	0.0011	0.0	5.658722	4.194100000000001	0.4321150028238396
A/Malaysia/29350/2004	0.002338601216837544	0.9043005444938456	-0.969563123078802	1.1231217661441453	4ff1302	0.002338601216837544	malaysia	-1.000088900581841e-12	0	0.0	2004-08-05	1.1602436257181268	1.3073001709578314	1.1480523783484546	1.575354157532988	0.07349204501737236	0.0011711909007781618	6	-1.29062235060191	2004.594113620808	2004-08-04	5	southeast_asia	-1.000088900581841e-12	True	2004-10-01	h3n2	ha	0.037756	0.0	6.658721	4.659610999999999	0.5150355737162104
A/Malaysia/NHRC0001/2004	0.002833057068993283	0.9043005444938456	-0.969563123078802	1.1231217661441453	4ff1302	0.002833057068993283	malaysia	-1.000088900581841e-12	0	0.0	2004-09-16	1.1602436257181268	-1.6739633366753968	1.8839833901102845	1.954935769099536	0.8454290703172482	0.002931139518681457	7	-0.3416353281005056	2004.7091033538672	2004-09-15	5	southeast_asia	-1.000088900581841e-12	True	2004-10-01	h3n2	ha	0.192805	0.0	8.658719	5.578290999999999	0.6343304068824421
A/Brisbane/3/2005	0.001740332030081497	0.761377859798051	1.271027151183928	-0.8415570542499525	7aa732d	0.001740332030081497	australia	-1.000088900581841e-12	0	0.0	2005-01-13	-1.02907174434847	-2.169374873342079	1.1480523783484546	0.15416007514239174	-0.3970216594487534	0.001754893533851719	10	1.5563387169023029	2005.0355920602328	2005-01-13	5	oceania	-1.000088900581841e-12	True	2005-04-01	h3n2	ha	0.0064069999999999995	0.0	8.442946999999998	6.648013000000001	0.3448234544623812
