strain	branch_length	cTiter	cTiterSub	cTiterSub_x	clade_membership	clock_length	country	country_entropy	dTiter	dTiterSub	date	delta_frequency	dms_star	ep	ep_x	lbi	mutation_length	ne	ne_star	numdate	raw_date	rb	region	region_entropy	is_terminal	timepoint	lineage	segment	frequency	naive
A/California/7/2004	0.0015623087183377071	0.9043005444938456	-0.9695631230788021	1.1231217661441453	4ff1302	0.0015623087183377071	usa	-1.000088900581841e-12	0	0.0	2004-09-16	1.1602436257181268	-0.838506011527442	1.8839833901102843	1.9577552115927426	1.6827422595044998	0.0017587293281450134	7	-0.3416353281005056	2004.7118412046545	2004-09-16	5	north_america	-9.99866855976916e-13	True	2004-10-01	h3n2	ha	0.195835	0.0
A/Canterbury/201/2004	0.0015623087183377071	0.9043005444938456	-0.9695631230788021	1.1231217661441453	4ff1302	0.0015623087183377071	new_zealand	-9.99866855976916e-13	0	0.0	2004-09-16	1.1602436257181268	0.6360028816284221	-0.32380964517520466	0.6896459174723698	1.6827422595044998	0.0017580492024412036	8	0.6073516944008986	2004.7118412046545	2004-09-16	5	oceania	-9.99866855976916e-13	True	2004-10-01	h3n2	ha	0.195835	0.0
A/Canterbury/23/2004	0.001232671483567538	0.9043005444938456	-0.9695631230788021	1.1231217661441453	4ff1302	0.001232671483567538	new_zealand	-1.000088900581841e-12	0	0.0	2004-08-20	1.1602436257181268	1.503705928097877	-0.32380964517520466	0.6896459174723698	2.0232973247264647	7.054084421150039e-18	7	-0.3416353281005056	2004.6351813826147	2004-08-19	5	oceania	-1.000088900581841e-12	True	2004-10-01	h3n2	ha	0.08412	0.0
A/HongKong/CUHK33894/2004	0.0021557095506449108	0.9043005444938456	-0.9695631230788021	1.1231217661441453	4ff1302	0.0021557095506449108	hong_kong	-1.000088900581841e-12	0	0.0	2004-05-09	1.1602436257181268	0.44545998291046746	-1.795671668698864	-0.29844254496844463	-1.5659692012803528	0.0005853264468047568	7	-0.3416353281005056	2004.3531827515399	2004-05-08	4	china	-1.000088900581841e-12	True	2004-10-01	h3n2	ha	3e-06	0.0
A/HongKong/CUHK35435/2004	0.002868056659819596	0.9043005444938456	-0.9695631230788021	1.1231217661441453	4ff1302	0.002868056659819596	hong_kong	-1.000088900581841e-12	0	0.0	2004-06-11	1.1602436257181268	0.5568542929301948	-1.795671668698864	-0.29844254496844463	-1.637219698339416	0.0011708343743929888	6	-1.2906223506019099	2004.4435318275155	2004-06-10	4	china	-1.000088900581841e-12	True	2004-10-01	h3n2	ha	0.00025	0.0
A/HongKong/CUHK52941/2004	0.0008514481371766497	0.9043005444938456	-0.9695631230788021	1.1231217661441453	b32cea9	0.0008514481371766497	hong_kong	-9.99866855976916e-13	0	0.0	2004-08-18	0.8652976999314134	0.26371137182564924	-1.0597406569370342	0.2664499827897239	0.9777343716085478	7.062794945654625e-18	8	0.6073516944008986	2004.6324435318274	2004-08-18	5	china	-1.000088900581841e-12	True	2004-10-01	h3n2	ha	0.08035	0.0
A/HongKong/HKU38/2004	0.0012752674390249794	0.9043005444938456	-0.9695631230788021	1.1231217661441453	b32cea9	0.0012752674390249794	hong_kong	-1.000088900581841e-12	0	0.0	2004-09-24	0.8652976999314134	-0.03236297848994172	-0.32380964517520466	0.7542875516165326	0.696462057641116	0.001758953489231581	8	0.6073516944008986	2004.7310061601645	2004-09-23	5	china	-1.000088900581841e-12	True	2004-10-01	h3n2	ha	0.211918	0.0
A/Malaysia/28114/2004	0.0014909626131408699	0.9043005444938456	-0.9695631230788021	1.1231217661441453	4ff1302	0.0014909626131408699	malaysia	-1.000088900581841e-12	0	0.0	2004-05-24	1.1602436257181268	-0.4427630680363056	1.1480523783484546	1.5628529741068569	1.074090237463832	0.001757331485407049	8	0.6073516944008986	2004.396988364134	2004-05-24	5	southeast_asia	-1.000088900581841e-12	True	2004-10-01	h3n2	ha	2.7e-05	0.0
A/Malaysia/28991/2004	0.002639305490172786	0.9043005444938456	-0.9695631230788021	1.1231217661441453	4ff1302	0.002639305490172786	malaysia	-1.000088900581841e-12	0	0.0	2004-06-23	1.1602436257181268	2.0753346242517408	-0.32380964517520466	0.6896459174723698	-0.026010027109585526	0.0011713213725775046	7	-0.3416353281005056	2004.479123887748	2004-06-23	5	southeast_asia	-9.99866855976916e-13	True	2004-10-01	h3n2	ha	0.0011	0.0
A/Malaysia/29350/2004	0.002338601216837544	0.9043005444938456	-0.9695631230788021	1.1231217661441453	4ff1302	0.002338601216837544	malaysia	-1.000088900581841e-12	0	0.0	2004-08-05	1.1602436257181268	1.3073001709578314	1.1480523783484546	1.575354157532988	0.07349204501737236	0.0011711909007781618	6	-1.2906223506019099	2004.594113620808	2004-08-04	5	southeast_asia	-1.000088900581841e-12	True	2004-10-01	h3n2	ha	0.037756	0.0
