model	predictor	timepoint	coefficient
epitope ancestor	ep_star	2003-10-01	0.003
epitope ancestor	ep_star	2004-04-01	0.009
epitope ancestor	ep_star	2004-10-01	0.001
epitope ancestor	ep_star	2005-04-01	1.081
epitope ancestor	ep_star	2005-10-01	1.057
epitope ancestor	ep_star	2006-04-01	1.075
epitope ancestor	ep_star	2006-10-01	1.065
epitope ancestor	ep_star	2007-04-01	0.759
epitope ancestor	ep_star	2007-10-01	0.515
epitope ancestor	ep_star	2008-04-01	0.524
epitope ancestor	ep_star	2008-10-01	0.496
epitope ancestor	ep_star	2009-04-01	0.539
epitope ancestor	ep_star	2009-10-01	0.097
epitope ancestor	ep_star	2010-04-01	0.081
epitope ancestor	ep_star	2010-10-01	-0.34
epitope ancestor	ep_star	2011-04-01	-0.391
epitope ancestor	ep_star	2011-10-01	-0.436
epitope ancestor	ep_star	2012-04-01	-0.501
epitope ancestor	ep_star	2012-10-01	-0.147
epitope ancestor	ep_star	2013-04-01	-0.132
epitope ancestor	ep_star	2013-10-01	-0.049
epitope ancestor	ep_star	2014-04-01	-0.048
epitope ancestor	ep_star	2014-10-01	-0.01
Koel epitope antigenic novelty	ep_x_koel	2003-10-01	0.067
Koel epitope antigenic novelty	ep_x_koel	2004-04-01	0.087
Koel epitope antigenic novelty	ep_x_koel	2004-10-01	0.087
Koel epitope antigenic novelty	ep_x_koel	2005-04-01	0.087
Koel epitope antigenic novelty	ep_x_koel	2005-10-01	0.091
Koel epitope antigenic novelty	ep_x_koel	2006-04-01	0.086
Koel epitope antigenic novelty	ep_x_koel	2006-10-01	0.051
Koel epitope antigenic novelty	ep_x_koel	2007-04-01	0.169
Koel epitope antigenic novelty	ep_x_koel	2007-10-01	0.163
Koel epitope antigenic novelty	ep_x_koel	2008-04-01	0.164
Koel epitope antigenic novelty	ep_x_koel	2008-10-01	0.169
Koel epitope antigenic novelty	ep_x_koel	2009-04-01	1.435
Koel epitope antigenic novelty	ep_x_koel	2009-10-01	1.345
Koel epitope antigenic novelty	ep_x_koel	2010-04-01	0.358
Koel epitope antigenic novelty	ep_x_koel	2010-10-01	0.229
Koel epitope antigenic novelty	ep_x_koel	2011-04-01	0.216
Koel epitope antigenic novelty	ep_x_koel	2011-10-01	0.187
Koel epitope antigenic novelty	ep_x_koel	2012-04-01	0.161
Koel epitope antigenic novelty	ep_x_koel	2012-10-01	0.218
Koel epitope antigenic novelty	ep_x_koel	2013-04-01	0.246
Koel epitope antigenic novelty	ep_x_koel	2013-10-01	0.283
Koel epitope antigenic novelty	ep_x_koel	2014-04-01	0.263
Koel epitope antigenic novelty	ep_x_koel	2014-10-01	0.362
Wolf epitope antigenic novelty	ep_x_wolf	2003-10-01	0.811
Wolf epitope antigenic novelty	ep_x_wolf	2004-04-01	1.163
Wolf epitope antigenic novelty	ep_x_wolf	2004-10-01	0.819
Wolf epitope antigenic novelty	ep_x_wolf	2005-04-01	0.813
Wolf epitope antigenic novelty	ep_x_wolf	2005-10-01	0.791
Wolf epitope antigenic novelty	ep_x_wolf	2006-04-01	0.858
Wolf epitope antigenic novelty	ep_x_wolf	2006-10-01	0.813
Wolf epitope antigenic novelty	ep_x_wolf	2007-04-01	0.548
Wolf epitope antigenic novelty	ep_x_wolf	2007-10-01	0.58
Wolf epitope antigenic novelty	ep_x_wolf	2008-04-01	0.481
Wolf epitope antigenic novelty	ep_x_wolf	2008-10-01	0.524
Wolf epitope antigenic novelty	ep_x_wolf	2009-04-01	0.534
Wolf epitope antigenic novelty	ep_x_wolf	2009-10-01	0.485
Wolf epitope antigenic novelty	ep_x_wolf	2010-04-01	0.099
Wolf epitope antigenic novelty	ep_x_wolf	2010-10-01	-0.119
