censored_frequency	clade_name	future_frequency	name	num_date	observed_frequency	predictor:ne_star	timepoint
0.0249436035625	NODE_0000205	0.0	A/Taiwan/70002/2007-egg	2007.0054757	0.012091	-0.0991644659016	2007.25
0.0330486524739	NODE_0000205	0.0	A/Taiwan/70307/2007-egg	2007.09308693	0.01602	-1.02450837803	2007.25
0.0191964778796	NODE_0000205	0.0	A/Hanoi/BM38/2007-egg	2007.10951403	0.008235	-0.0991644659016	2007.25
0.0173545646253	NODE_0002078	0.0	A/Egypt/57/2006	2006.97193703	0.012173	-0.0991644659016	2007.25
0.0219683941262	NODE_0002078	0.0	A/Tehran/379/2007	2007.03285421	0.013917	-1.02450837803	2007.25
0.0400109561287	NODE_0002078	1e-06	A/India/V0713788/2007	2007.08213552	0.018732	-1.02450837803	2007.25
0.0403038403118	NODE_0002078	1e-06	A/India/V0713789/2007	2007.08487337	0.018869	-1.02450837803	2007.25
0.0302056055006	NODE_0002078	2e-06	A/Moscow/26/2007	2007.16427105	0.019135	0.826179446229	2007.25
0.0221414124178	NODE_0002078	1e-06	A/Pavia/28/2007	2007.16427105	0.019483	-0.0991644659016	2007.25
0.0480894799909	NODE_0002078	3e-06	A/India/N075663/2007	2007.1779603	0.022514	-0.0991644659016	2007.25
0.0155267642697	NODE_0002078	4e-06	A/Guyane/13/2007	2007.18617385	0.007366	-0.0991644659016	2007.25
0.00594068650833	NODE_0002078	1e-06	A/Aichi/67/2007	2007.24093087	0.003911	-1.02450837803	2007.25
0.0	NODE_0002078	7e-06	A/UlanUde/1/2007	2007.25188227	0.020293	-1.02450837803	2007.25
0.0	NODE_0002078	2.9e-05	A/Bangladesh/4699/2007	2007.31759069	0.022626	-1.02450837803	2007.25
0.0	NODE_0002078	9e-06	A/California/NHRC0002/2007	2007.32854209	0.006968	-1.02450837803	2007.25
0.0	NODE_0002078	3.6e-05	A/Bangladesh/9745/2007	2007.3340178	0.02218	-1.02450837803	2007.25
0.0	NODE_0002078	5.5e-05	A/StPetersburg/95/2007	2007.38603696	0.017501	-1.02450837803	2007.25
0.0	NODE_0002078	2.5e-05	A/CostaRica/4082/2007	2007.39698836	0.006158	-1.02450837803	2007.25
0.0	NODE_0002078	0.000132	A/Argentina/3813/2007	2007.42162902	0.006012	-1.02450837803	2007.25
0.0	NODE_0002078	0.000196	A/Argentina/3834/2007	2007.45174538	0.005495	-1.02450837803	2007.25
0.0	NODE_0002078	1.5e-05	A/NorthernMarianaIslands/AF1144/2007	2007.54209446	0.000513	-1.02450837803	2007.25
0.0	NODE_0002078	0.000653	A/India/K0713778/2007	2007.55852156	0.010959	-1.02450837803	2007.25
0.0	NODE_0002078	0.000413	A/England/544/2007	2007.57221081	0.009005	-1.02450837803	2007.25
0.0	NODE_0002078	0.000348	A/Hanoi/Q578/2007	2007.60232717	0.003572	-1.02450837803	2007.25
0.0	NODE_0002078	0.000357	A/Hanoi/Q582/2007	2007.60506502	0.003517	-1.02450837803	2007.25
0.0	NODE_0002078	0.00274	A/Taiwan/707/2007	2007.74469541	0.002754	-1.02450837803	2007.25
0.0	NODE_0002078	0.002991	A/Taiwan/760/2007	2007.75564682	0.002523	-1.02450837803	2007.25
0.0	NODE_0002078	0.000177	A/NorthernMarianaIslands/AF1121/2007	2007.81314168	8e-05	-1.02450837803	2007.25
0.0	NODE_0002078	0.00769	A/India/And071559/2007	2007.83778234	0.00148	-1.02450837803	2007.25
0.0	NODE_0002078	0.004497	A/Netherlands/348/2007	2007.84873374	0.001174	-1.02450837803	2007.25
0.0	NODE_0002078	0.008872	A/Astrakhan/10/2007	2007.91718001	0.000577	-1.02450837803	2007.25
0.0	NODE_0002078	0.016104	A/Cameroon/57/2007	2007.96372348	0.000384	-1.02450837803	2007.25
0.0	NODE_0002078	0.008465	A/Lyon/1381/2007	2007.96372348	0.000351	-1.02450837803	2007.25
0.0	NODE_0002078	0.01955	A/India/C087863/2008	2008.01916496	0.000207	-1.02450837803	2007.25
